cod_orgao,nom_orgao,sgl_orgao,cod_upce,nom_upce
7001,01 SEC.DE EST.DO DES.REG.-S.M.D'OESTE             ,01 SDR,70010001,SDR 1-SAO MIGUEL D`OESTE      
1904,POLICIA MILITAR DO ESTADO DE SANTA CATARINA       ,PMSC,19040129,"129-""PL""-GEIN INDAIAL -INDAIAL"
1915,CORPO DE BOMBEIROS MILITAR DE S.C.                ,CBMSC,19150022,QG- GBM BRACO DO NORTE        
1904,POLICIA MILITAR DO ESTADO DE SANTA CATARINA       ,PMSC,19040044,"44 ""PL"" -  2/2 BBM/CHAPECO    "
1904,POLICIA MILITAR DO ESTADO DE SANTA CATARINA       ,PMSC,19040056,"56 ""PL"" -  7 BPM/FPOLIS.      "
1909,FUNDO DE APARELHAMENTO DA PM                      ,FUNAPM,19090134,"134-""PA""COLEGIO MILITAR LAGES "
1904,POLICIA MILITAR DO ESTADO DE SANTA CATARINA       ,PMSC,19040030,"30 ""PL"" -  3 BPM/CANOINHAS    "
1904,POLICIA MILITAR DO ESTADO DE SANTA CATARINA       ,PMSC,19040055,"55 ""PL"" -  3/3/1 BBM/TUBARAO  "
1102,SEC.DE EST.DA COMUNICACAO                         ,SECOM,11020001,ALMOXARIFADO GERAL - SECOM    
1909,FUNDO DE APARELHAMENTO DA PM                      ,FUNAPM,19090064,"64 ""PA"" - BAPM/FPOLIS         "
1685,FUNDO DE MELHORIAS DO CORPO DE BOMBEIROS          ,FMCBM,16850034,LF- PBM LAGUNA                
1915,CORPO DE BOMBEIROS MILITAR DE S.C.                ,CBMSC,19150025,QG- BBM CURITIBANOS           
1904,POLICIA MILITAR DO ESTADO DE SANTA CATARINA       ,PMSC,19040100,"100 ""PL"" - 2CIA/BAPM - JVILLE "
5325,DEPARTAMENTO ESTADUAL DE INFRAESTRUTURA           ,DEINFRA,53250017,ALMOXARIFADO 17 S.BENTO DO SUL
1915,CORPO DE BOMBEIROS MILITAR DE S.C.                ,CBMSC,19150058,QG- PBM XANXERE               
1909,FUNDO DE APARELHAMENTO DA PM                      ,FUNAPM,19090011,"11 ""PA"" - G. ESP. LAGUNA      "
1915,CORPO DE BOMBEIROS MILITAR DE S.C.                ,CBMSC,19150100,QG - GBM IPORA DO OESTE       
1685,FUNDO DE MELHORIAS DO CORPO DE BOMBEIROS          ,FMCBM,16850049,LF- PBM S.MIGUEL D`OESTE      
4791,"FUNDO DE MATERIAIS, PUBLIC. E IMPRESSOS OFICIAIS  ",FMPIO,47910001,ALMOXARIFADO GERAL - FMPIO    
1915,CORPO DE BOMBEIROS MILITAR DE S.C.                ,CBMSC,19150034,QG- PBM LAGUNA                
1904,POLICIA MILITAR DO ESTADO DE SANTA CATARINA       ,PMSC,19040024,"24 ""PL"" -  4 BPM/FPOLIS       "
5325,DEPARTAMENTO ESTADUAL DE INFRAESTRUTURA           ,DEINFRA,53250008,ALMOXARIFADO 08 CHAPECO       
1904,POLICIA MILITAR DO ESTADO DE SANTA CATARINA       ,PMSC,19040091,"91""PL""- 23 BPM/S.BENTO DO SUL "
1685,FUNDO DE MELHORIAS DO CORPO DE BOMBEIROS          ,FMCBM,16850005,LF- DITI CB FNS ESTREITO      
1915,CORPO DE BOMBEIROS MILITAR DE S.C.                ,CBMSC,19150089,QG- GBM PORTO BELO            
5602,SJC - FUNDO PENITENCIARIO DO ESTADO DE SC.        ,FUPESC,56020007,FUPESC-PRESIDIO ITAJAI        
1904,POLICIA MILITAR DO ESTADO DE SANTA CATARINA       ,PMSC,19040102,""" PL "" - GUESP / IÇARA        "
2301,SECRETARIA DE ESTADO DA INFRAESTRUTURA            ,SIE,23010001,ALMOXARIFADO GERAL - SIE      
1915,CORPO DE BOMBEIROS MILITAR DE S.C.                ,CBMSC,19150028,QG- CBM LAGES                 
5325,DEPARTAMENTO ESTADUAL DE INFRAESTRUTURA           ,DEINFRA,53250019,ALMOXARIFADO 19 PALMITOS      
1909,FUNDO DE APARELHAMENTO DA PM                      ,FUNAPM,19090092,"""PA"" CIA POL COM CÃES/SÃO JOSE"
5325,DEPARTAMENTO ESTADUAL DE INFRAESTRUTURA           ,DEINFRA,53250088,ALMOX/88 G.P.RV CALMON        
1909,FUNDO DE APARELHAMENTO DA PM                      ,FUNAPM,19090066,"""PA"" 3/15 BPM/FRAIBURGO       "
5325,DEPARTAMENTO ESTADUAL DE INFRAESTRUTURA           ,DEINFRA,53250014,ALMOXARIFADO 14 S.M.DO OESTE  
1909,FUNDO DE APARELHAMENTO DA PM                      ,FUNAPM,19090114,"114 ""PA""-9 RPM -S.MIGUEL OESTE"
2301,SECRETARIA DE ESTADO DA INFRAESTRUTURA            ,SIE,23010012,SETORIAL DE SAO BENTO DO SUL  
1909,FUNDO DE APARELHAMENTO DA PM                      ,FUNAPM,19090055,"55 ""PA"" -  3/3/1 BBM/TUBARAO  "
5325,DEPARTAMENTO ESTADUAL DE INFRAESTRUTURA           ,DEINFRA,53250003,ALMOXARIFADO 03 LAGES         
1915,CORPO DE BOMBEIROS MILITAR DE S.C.                ,CBMSC,19150047,QG- PBM SÃO BENTO DO SUL      
1909,FUNDO DE APARELHAMENTO DA PM                      ,FUNAPM,19090033,"33 ""PA"" - 7/3/1 BBM/ARARANGUA "
1915,CORPO DE BOMBEIROS MILITAR DE S.C.                ,CBMSC,19150027,QG- PBM VIDEIRA               
1909,FUNDO DE APARELHAMENTO DA PM                      ,FUNAPM,19090088,PA - 4ª/12º BPM - ITAPEMA     
2021,FUNDACAO DO MEIO AMBIENTE                         ,FATMA,20210001,ALMOXARIFADO GERAL - FATMA    
1915,CORPO DE BOMBEIROS MILITAR DE S.C.                ,CBMSC,19150002,QG CEBM   TRINDADE            
5325,DEPARTAMENTO ESTADUAL DE INFRAESTRUTURA           ,DEINFRA,53250077,ALMOX/77 G.P.RV PALMEIRA      
1915,CORPO DE BOMBEIROS MILITAR DE S.C.                ,CBMSC,19150065,QG- PBM SAO JOAQUIM           
1909,FUNDO DE APARELHAMENTO DA PM                      ,FUNAPM,19090029,"29 ""PA"" - 3/4/2BBM/MAFRA      "
1915,CORPO DE BOMBEIROS MILITAR DE S.C.                ,CBMSC,19150016,QG- GBM FNS RIO TAVARES       
1915,CORPO DE BOMBEIROS MILITAR DE S.C.                ,CBMSC,19150076,QG- GBM GABIRUBA              
1909,FUNDO DE APARELHAMENTO DA PM                      ,FUNAPM,19090133,"133 -""PA""- 1/12BPM CAMBORIU   "
1909,FUNDO DE APARELHAMENTO DA PM                      ,FUNAPM,19090014,"14 ""PA"" - 8 BPM/JOINVILLE     "
1909,FUNDO DE APARELHAMENTO DA PM                      ,FUNAPM,19090128,"128 - ""PA"" - EPM - JOINVILLE  "
1685,FUNDO DE MELHORIAS DO CORPO DE BOMBEIROS          ,FMCBM,16850054,LF- BBM CRICIUMA              
1909,FUNDO DE APARELHAMENTO DA PM                      ,FUNAPM,19090020,"20 ""PA"" - 18º BPM/BRUSQUE     "
1909,FUNDO DE APARELHAMENTO DA PM                      ,FUNAPM,19090053,"53 ""PA"" -  16 BPM/PALHOÇA     "
1915,CORPO DE BOMBEIROS MILITAR DE S.C.                ,CBMSC,19150084,QG- GBM GARUVA                
9401,25 SEC.DE EST.DO DES.REG.-MAFRA                   ,25 SDR,94010001,SDR 25-MAFRA                  
1915,CORPO DE BOMBEIROS MILITAR DE S.C.                ,CBMSC,19150052,QG- GBM ITAPIRANGA            
1901,FUNDO DE MELHORIA DA SSP                          ,SSP,19010003,GABINETE-DIRETORIA DE JUSTIÇA 
2301,SECRETARIA DE ESTADO DA INFRAESTRUTURA            ,SIE,23010006,COORDENADORIA R. DO OESTE     
